Key,en,es,ar
create Account,Create Account,Crear una cuenta,إنشاء حساب
okay,Okay,Bueno,تمام
transfer,TRANSFER,TRANSFERIR,تحويل
profile,Profile,Perfil,حساب تعريفي
saved Recipients,Saved Recipients,Destinatarios guardados,المستفيدين المحفوظة
password Reset Successfully,"Your password has been reset successfully, sign in again now. ","Su contraseña se ha restablecido correctamente, inicie sesión nuevamente ahora.",تمت إعادة تعيين كلمة المرور الخاصة بك بنجاح ، وقم بتسجيل الدخول مرة أخرى الآن.
exchange,Exchange,Intercambio,تبادل
something Went Wrong,"Something went wrong, Try again later. ","Algo salió mal, intente de nuevo más tarde.",حدث خطأ ما ، حاول مرة أخرى لاحقًا.
money Transfer Msg,Your money has been transfer successfully,Su dinero ha sido transferido con éxito,تم تحويل أموالك بنجاح
request,Request,Pedido,طلب
recent Transaction,Recent Transaction,Transacción reciente,المعاملة الأخيرة
notification,Notification,Notificación,إشعار
my Invoice,My Invoice,Mi factura,فاتورتي
my Voucher,My Voucher,Mi cupón,قسيم
transaction Log,Transaction Log,Registro de transacciones,سجل المعاملات
transfer Fees Charges,Transfer Fees & Charges,Tarifas y cargos de transferencia,رسوم النقل والرسوم
amount Convert,Amount we ll convert,Cantidad que convertiremos,المبلغ الذي نحوله
two FA Security,2FA Security,2FA SEGURIDAD,2FA الأمن
two FA Security Log Msg,We’ll ask for a verification code via your security method if we notice a sign in from an unrecognized device or browser. Enable your 2FA Security,Pediremos un código de verificación a través de su método de seguridad si notamos un inicio de sesión desde un dispositivo o navegador no reconocido. Habilite su seguridad de 2FA,سنطلب رمز التحقق من خلال طريقة الأمان الخاصة بك إذا لاحظنا تسجيل الدخول من جهاز أو متصفح غير معترف به. تمكين أمان 2FA الخاص بك
privacy And Policy,Privacy & Policy,Política de privacidad,سياسة الخصوصية
sign Out,Sign Out,Desconectar,خروج
amount Information,Amount Information,Cantidad de información,معلومات المبلغ
preview Screen,Preview Screen,Pantalla previa,شاشة المعاينة
total Fees And Charges,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والرسوم
will Get,Will Get,Obtendrá,سوف تحصل
money Exchange,Money Exchange,Cambio de dinero,حوالة نقدية
from,From,De,من
phone Number Hint Text,X X X  X X X X  X X X,X x x x x x x x x x,x x x x x x x x x x
to,To,A,ل
request Money,Request Money,Pedir dinero,طلب المال
share Request Money,Share Request Money,Solicitar dinero para compartir dinero,مشاركة طلب المال
share,Share,Compartir,يشارك
money Transfer,Money Transfer,Transferencia de dinero,تحويل المال
available Balance,Available Balance,Saldo disponible,الرصيد المتوفر
receiver,Receiver,Receptor,المتلقي
profile Label,Profile,Perfil,حساب تعريفي
full Name,Full Name,Nombre completo,الاسم الكامل
phone Number,Phone Number,Número de teléfono,رقم التليفون
update Profile,Update Profile,Actualización del perfil,تحديث الملف
paid,Paid,Pagado,مدفوع
sent,Sent,Enviado,مرسل
un Paid,UnPaid,No pagado,غير مدفوع الأجر
invoice Number,Invoice Number,Número de factura,رقم الفاتورة
invoice Date,Invoice Date,Fecha de la factura,تاريخ الفاتورة
currency,Currency,Divisa,عملة
pick Goods,Pick Goods,Seleccionar artículos,اختر البضائع
trick Goods,Trick Goods,Artículos de truco,خدعة البضائع
total Bill,Total Bill,Cuenta total,إجمالي الفاتورة
create Invoice,Create Invoice,Crear factura,إنشاء فاتورة
invoice To,Invoice To,Factura,فاتورة إلى
billing Address,Billing Address,Dirección de Envio,عنوان وصول الفواتير
notes,Notes,Notas,ملحوظات
item Details,Item Details,detalles del artículo,تفاصيل العنصر
client Name,Client Name,nombre del cliente,اسم العميل
item Name,Item Name,Nombre del árticulo,اسم العنصر
voucher,Voucher,Vale,فاتورة
redeem,Redeem,Canjear,يسترد
used,Used,Usado,مستخدم
not Used,Not Used,No utilizado,غير مستعمل
fees And Charge,Fees & Charge,Tarifas y cargo,الرسوم والشحن
code,Code,Código,شفرة
create Voucher,Create Voucher,Crear cupón,إنشاء قسيمة
confirm Redeem,Confirm Redeem,Confirmar redimir,تأكيد الاسترداد
redeem Code,Redeem Code,Canjear código,استرداد رمز
add Money Log,Add Money Log,Agregar registro de dinero,أضف سجل الأموال
money Out Log,Money Out Log,Money Out Log,سجل الأموال
exchange Log,Exchange Log,Registro de intercambio,سجل التبادل
request Log,Request Log,Registro de solicitud,طلب سجل
verified Code,Verified Code,Código verificado,رمز التحقق
back To Home,Back To Home,De vuelta a casa,العودة إلى المنزل
enable2fa Security,Enable 2FA Security,Habilitar la seguridad de 2FA,تمكين 2FA الأمن
send Verification Code,Send Verification Code,Envíe el código de verificación,إرسال رمز التحقق
old Password,Old Password,Contraseña anterior,كلمة المرور القديمة
individual,Individual,Individual,فردي
business,Business,Negocio,عمل
user Name,Username,Nombre de usuario,اسم المستخدم
postal Code,Postal Code,Código Postal,رمز بريدي
company Name,Company Name,nombre de empresa,اسم الشركة
gender,Gender,Género,جنس
date Of Birth,Date of Birth,Fecha de nacimiento,تاريخ الميلاد
nationality,Nationality,Nacionalidad,جنسية
my Receipt,My Receipt,Mi recibo,إيصالي
total Exchanged Amount,Total Exchanged Amount,Cantidad total intercambiada,إجمالي المبلغ المتبادل
converted Amount,Converted Amount,Cantidad convertida,المبلغ المحول
requested Amount,Requested Amount,Monto requerido,الكمية المطلوبة
track Your Transaction,Track Your Transaction,Seguimiento de su transacción,تتبع معاملتك
transfer Calculator,Transfer Calculator,Transferir calculadora,نقل الآلة الحاسبة
new User Here,New user here?,Nuevo usuario aquí?,مستخدم جديد هنا؟
welcome To,Welcome to,Bienvenido a,مرحبا بك في
onboard Subtitle Text,"Smarter way to Send money anytime, anywhere with best exchange rate ","Forma más inteligente de enviar dinero en cualquier momento, en cualquier lugar con el mejor tipo de cambio",طريقة أكثر ذكاءً لإرسال الأموال في أي وقت وفي أي مكان بأفضل سعر صرف
safe And Secure Process,Safe & Secure Process,Proceso seguro y seguro,عملية آمنة ومأمونة
customer Support,24/7 Customer Support,Atención al cliente 24/7,24/7 دعم العملاء
enter MTCN,Enter your MTCN number,Ingrese su número MTCN,أدخل رقم MTCN الخاص بك
your Email,Your Email,Tu correo electrónico,بريدك الالكتروني
continue As Guest,Continue as a Guest,Continuar como invitado,تواصل كضيف
or,or,o,أو
enter Registered Email,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer de forma segura su contraseña.,تحكم في حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. توجهك صفحة استرداد كلمة المرور الخاصة بنا من خلال الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.
verification Code,Please enter the code,Ingrese el código,الرجاء إدخال الرمز
resend Code,Resend Code,Reenviar codigo,أعد إرسال الرمز
enter New Password,Enter New Password,Ingrese nueva clave,أدخل كلمة مرور جديدة
enter Confirm Password,Enter Confirm Password,Ingrese Confirmar contraseña,أدخل تأكيد كلمة المرور
enter The Verification Code,We sent a 6-digit code to your email,Enviamos un código de 6 dígitos a su correo electrónico,أرسلنا رمز مكون من 6 أرقام إلى بريدك الإلكتروني
enter Name,Enter Name,Ingrese su nombre,أدخل الاسم
select Country,Select Country,Seleccionar país,حدد الدولة
terms And Condition,Terms and Condition,Términos y Condiciones,أحكام وشروط
privacy Policy,Terms and Condition,Términos y Condiciones,أحكام وشروط
usa,United States,Estados Unidos,الولايات المتحدة
i Agree,I agree with the,Estoy de acuerdo con el,أتفق مع
and,&,Y,& &
sending Country,Sending Country,Envío de país,إرسال البلد
receiving Country,Receiving Country,País receptor,استلام الدولة
receiving Method,Receiving Method,Método de recepción,استلام طريقة
select Receiving Method,Select Receiving Method,Seleccione el método de recepción,حدد طريقة الاستلام
cash Pickup,Cash Pickup,Recogida en efectivo,الالتقاط النقدي
title Sign Up,"Smarter way to Send money anytime, anywhere with best exchange rate ","Forma más inteligente de enviar dinero en cualquier momento, en cualquier lugar con el mejor tipo de cambio",طريقة أكثر ذكاءً لإرسال الأموال في أي وقت وفي أي مكان بأفضل سعر صرف
select Pickup Point,Select Pickup Point,Seleccionar el punto de recogida,حدد نقطة التقاط
pickup Point,Pickup Point,Punto de recogida,نقطة التقاط
receiving Bank,Receiving Bank,Banco receptor,البنك المستلم
select Receiving Bank,Select Receiving Bank,Seleccione el banco receptor,حدد استلام البنك
account Holder Name,Account Holder Name,nombre del titular de la cuenta,اسم صاحب الحساب
enter Account Holder Name,Enter Account Holder Name,Ingrese el nombre del titular de la cuenta,أدخل اسم حامل الحساب
enter Account Number,Enter Account Number,Ingrese el número de cuenta,أدخل رقم الحساب
enter Bank Name,Enter Bank Name,Ingrese el nombre del banco,أدخل الاسم المصرفي
united Bank,United Bank,Banco Unido,البنك المتحدة
brack Bank,BRAC Bank,Banco brac,بنك براك
city Bank,City Bank,Banco de la Ciudad,بنك المدينة
recipient Information,Recipient Information,recipiente de información,معلومات المستلم
enter Gmail Or Username,Enter Gmail or Username,Ingrese Gmail o nombre de usuario,أدخل gmail أو اسم المستخدم
dhaka,Dhaka,Dhaka,دكا
khulna,Khulna,Khulna,خولنا
rangpur,Rangpur,Rangpur,رانجبور
payment Information,Payment Information,Información del pago,معلومات الدفع
select Sending Purpose,Select Sending Purpose,Seleccionar el propósito de envío,حدد هدف إرسال
save Up To,You save up to,Ahorras hasta,يمكنك حفظ ما يصل إلى
should Arrive,Should Arrive,Deberia llegar,ينبغي أن تصل
select Source Of Fund,Select Source of Fund,Seleccionar fuente de fondo,حدد مصدر الصندوق
select Payment Gateway,Select Payment Gateway,Seleccione la pasarela de pago,حدد بوابة الدفع
proceed,Proceed,Proceder,يتابع
salary,Salary,Salario,مرتب
medicine,Medicine,Medicamento,الدواء
company,Company,Compañía,شركة
personal,Personal,Personal,شخصي
family,Family,Familia,عائلة
edit Beneficiary,Edit Beneficiary,Editar beneficiario,تحرير المستفيد
recipient Details,Recipient Details,Detalles del destinatario,تفاصيل المستلم
select Transaction Type,Select Transaction Type,Seleccionar el tipo de transacción,حدد نوع المعاملة
enter Recipient Name,Enter Recipient Name,Ingrese el nombre del destinatario,أدخل اسم المستلم
recipient Email Address,Recipient Email Address,Dirección de Correo Electrónico del Destinatario,البريد الألكتروني للمتلقي
enter Email Address,Enter Email Address,Introducir la dirección de correo electrónico,أدخل عنوان البريد الالكتروني
recipient Country,Recipient Country,País receptor,بلد المتلقي
select Recipient Country,Select Recipient Country,Seleccionar país receptor,حدد بلد المتلقي
recipient City,Recipient City,Ciudad receptor,مدينة المستلم
selected,Selected,Seleccionado,المحدد
additional Address Info,Additional Address Info,Información de dirección adicional,معلومات عنوان إضافية
enter Road Landmark,"72/A1, Bevilian, School Road ","72/a1, Bevilian, carretera escolar",72/A1 ، Bevilian ، طريق المدرسة
recipient Phone Number,Recipient Phone Number,Número de teléfono del destinatario,رقم هاتف المستلم
relationship With Recipient,Relationship With Recipient,Relación con el destinatario,العلاقة مع المستلم
select Recipient,Select Relationship,Relación seleccionada,حدد العلاقة
family Relation,Familial Relationships,Relaciones familiares,العلاقات العائلية
friendship Relation,Friendships,Amistades,صداقات
acquaintances Relation,Acquaintances,Conocidos,المعارف
work Or Professional Relation,Work or Professional Relationships,Relaciones laborales o profesionales,العمل أو العلاقات المهنية
teacher Or Student Relation,Teacher/Student Relationships,Relaciones de maestro/alumno,علاقات المعلم/الطالب
community Or Group Relation,Community or Group Relationships,Relaciones comunitarias o grupales,علاقات المجتمع أو الجماعي
place Based Relationships,Place-based Relationships,Relaciones basadas en el lugar,العلاقات القائمة على المكان
landlord Or Tenant Relationships,Landlord/Tenant Relationships,Relaciones del propietario/inquilino,علاقات المالك/المستأجر
select Relationship,Select Relationship,Relación seleccionada,حدد العلاقة
entered Amount,Entered Amount,Cantidad ingresada,تم إدخال المبلغ
you Transfer,You Transfer,Transferirá,أنت تنقل
transfer Fee,Transfer Fee,Tarifa de transferencia,رسوم التحويل
united States,United States,Estados Unidos,الولايات المتحدة
australia,Australia,Australia,أستراليا
dba,DBA,Dba,DBA
gift,Gift,Regalo,هدية
retained Earnings,Retained Earnings,Ganancias retenidas,الأرباح المحتجزة
deposit To Bank,Deposit to Bank Account,Depósito a la cuenta bancaria,إيداع الحساب المصرفي
you Sending,You re Sending,Estás enviando,أنت ترسل
payout Partner,Payout Partner,Socio de pago,شريك الدفع
single,Single,Soltero,أعزب
married,Married,Casado,متزوج
divorced,Divorced,Divorciado,مُطلّق
widow,Widow,Viuda,أرملة
update Password,Update Password,Actualiza contraseña,تطوير كلمة السر
bkash,Bkash,Bkash,بكاش
nogod,Nogod,No Dios,نوغود
tab And Hold,Tap & Hold to Remittance,Toque y mantenga presionado a la remesas,اضغط على التحويلات والاحتفاظ بها
rocket,Rocket,Cohete,صاروخ
no Recipient,No recipient found,No se encuentra ningún destinatario,لم يتم العثور على المستلم
two Factor Authorization,Two Factor Authorization,Autorización de dos factores,اثنين من التفويض عامل
enter The Two Fa Verification,Please enter your authorization code to access dashboard,Ingrese su código de autorización para acceder al tablero,الرجاء إدخال رمز التفويض الخاص بك للوصول إلى لوحة القيادة
beneficiaries,Recipient Information,recipiente de información,معلومات المستلم
cancel,Cancel,Cancelar,يلغي
sign Out Alert,Sign Out?,¿Desconectar?,خروج؟
delete Profile Alert,Delete Profile?,¿Borrar perfil?,حذف الملف الشخصي؟
are You Sure,Are you sure about signing out of the system? Then click Okay button,¿Estás seguro de firmar fuera del sistema? Luego haga clic en el botón OK,هل أنت متأكد من التوقيع على النظام؟ ثم انقر فوق زر موافق
are You Sure Delete,Are you sure about delete profile of the system? Then click Okay button,¿Estás seguro del perfil de eliminación del sistema? Luego haga clic en el botón OK,هل أنت متأكد من حذف ملف تعريف النظام؟ ثم انقر فوق زر موافق
your Payment Is Successfully,Your Payment Is Successfully Completed,Su pago se completa con éxito,تم إكمال دفعتك بنجاح
copy Url,Copy url successfully,Copiar URL con éxito,نسخ عنوان URL بنجاح
sslcommerz Payment,Sslcommerz Payment,Pago de sslcommerz,دفع SSLCommerz
card Number,Card Number,Número de tarjeta,رقم البطاقة
card Holder,Card Holder,Titular de la tarjeta,حامل البطاقة
valid Thru,VALID THRU,Válido,صالح من خلال
pay Now,Pay Now,Pagar ahora,ادفع الآن
credit Card,credit Card,tarjeta de crédito,بطاقة إئتمان
city And State,city And State,ciudad y estado,المدينة والدولة
change Themes,change Themes,Cambiar temas,تغيير الموضوعات
success,success,éxito,نجاح
alert,alert,alerta,يُحذًِر
select Banks Name,select Banks Name,Seleccionar el nombre de los bancos,حدد اسم البنوك
select Method Name,select Method Name,Seleccionar el nombre del método,حدد اسم الطريقة
